Nsyl,Ntom,HEB,p_value,q_value
Nitab03g005310.1,Nitab19g014810.1,-2.0439442875822875,1.29244800418e-06,8.52726482883e-06
Nitab05g022470.1,Nitab15g019980.1,-3.6556086721105405,1.29429461415e-06,8.53490122559e-06
Nitab08g020880.1,Nitab22g021540.1,-2.0575549383946656,1.31187548602e-06,8.64163086111e-06
Nitab03g019320.1,Nitab17g036720.1,-2.0852232894085567,1.32741475845e-06,8.73934309866e-06
Nitab06g034980.1,Nitab04g013300.1,-2.261325457087574,1.33276975145e-06,8.76993655789e-06
Nitab05g024220.1,Nitab15g021200.1,-2.071769470774057,1.35848933558e-06,8.92968786189e-06
Nitab06g015350.1,Nitab04g023610.1,-2.084421676378101,1.37698410863e-06,9.04645687067e-06
Nitab01g013110.1,Nitab23g014920.1,-2.2671769747346016,1.37928347521e-06,9.05675851379e-06
Nitab07g011060.1,Nitab19g025340.1,-2.0744030962710176,1.3841493619e-06,9.08389279164e-06
Nitab01g010710.1,Nitab13g013770.1,-2.0793079032848585,1.40209635402e-06,9.19680150857e-06
Nitab01g009660.1,Nitab23g010780.1,-2.1427133665343234,1.41858112601e-06,9.29508394948e-06
Nitab06g032530.1,Nitab22g009420.1,-2.0419582646978753,1.43170529565e-06,9.37116193517e-06
Nitab16g019140.1,Nitab12g016500.1,-2.0588687332937243,1.43301484778e-06,9.37477859216e-06
Nitab06g017530.1,Nitab04g021520.1,-2.0377723039339735,1.43830826216e-06,9.40444008372e-06
Nitab03g016060.1,Nitab17g023930.1,-2.9527125411519086,1.44650614986e-06,9.4530512717e-06
Nitab01g024700.1,Nitab23g025120.1,-2.22420053976056,1.48265483335e-06,9.67907087835e-06
Nitab03g019220.1,Nitab17g036850.1,-2.0354652639148765,1.48376912901e-06,9.68124177746e-06
Nitab08g027640.1,Nitab21g019200.1,-2.0727190442540526,1.48843133607e-06,9.70654748073e-06
Nitab07g008760.1,Nitab19g017860.1,-2.112499631785117,1.48995901605e-06,9.71139602885e-06
Nitab01g005560.1,Nitab23g005850.1,-2.864939946879477,1.49225027291e-06,9.72121377152e-06
Nitab06g031510.1,Nitab17g007710.1,-2.109422515441571,1.49547236461e-06,9.73708189449e-06
Nitab08g025090.1,Nitab12g018260.1,-2.032958934443051,1.49726279031e-06,9.74361660281e-06
Nitab16g010040.1,Nitab12g007160.1,-2.1203912184658287,1.50240273467e-06,9.77193039186e-06
Nitab18g006490.1,Nitab19g009410.1,-3.0566602558396685,1.51320674879e-06,9.83703536853e-06
Nitab17g029300.1,Nitab17g029030.1,-2.8799846947238255,1.54921536144e-06,1.00658358007e-05
Nitab01g025630.1,Nitab12g006190.1,-2.173728296036587,1.55176363992e-06,1.00718243798e-05
Nitab03g007660.1,Nitab17g016770.1,-2.0360679541791606,1.55837095406e-06,1.01094111551e-05
Nitab01g005430.1,Nitab23g005690.1,-3.507469346383626,1.56830941955e-06,1.01685569904e-05
Nitab06g016690.1,Nitab04g022140.1,-2.0813036793391144,1.58467853151e-06,1.02585775924e-05
Nitab03g032140.1,Nitab03g032650.1,-2.863299649659246,1.6055994585e-06,1.0383155976e-05
Nitab08g014840.1,Nitab22g015520.1,-2.038475217984288,1.61759224238e-06,1.04552517378e-05
Nitab08g028670.1,Nitab21g019870.1,-2.047977142748047,1.62017311767e-06,1.0461013498e-05
Nitab06g029680.1,Nitab15g009650.1,-2.0865652501513594,1.64605617503e-06,1.06115354875e-05
Nitab06g027550.1,Nitab04g006480.1,-2.083030538986132,1.65511913552e-06,1.06644096641e-05
Nitab05g019160.1,Nitab24g007070.1,-2.0362867694851996,1.67995370304e-06,1.07907399681e-05
Nitab20g021850.1,Nitab04g009660.1,-2.0109299225926187,1.72338910132e-06,1.10582645755e-05
Nitab22g024040.1,Nitab14g014270.1,-2.013241476926179,1.73429415173e-06,1.1122474767e-05
