,A5967,A5980,A6001
Nitab11g013790.1,20.238493539212858,23.761488976174117,19.757517809860886
Nitab11g013800.1,7.079772780455466,5.65126846257567,8.082836028561037
Nitab11g013820.1,22.170135589679763,29.298050785242502,13.409313227105853
Nitab11g013830.1,338.4242149567886,383.2132895570891,248.95461902841626
Nitab11g013930.1,73.33683994618056,64.27738911775816,53.79251926552971
Nitab11g013940.1,9.13609373787031,9.384059238146166,10.071368140683155
Nitab11g013970.1,6.833564641528813,5.530198221597769,7.010449667328491
Nitab11g014020.1,13.469478899868754,13.163102341713085,12.028253894388696
Nitab11g014030.1,18.95065909739491,17.945858194454022,19.38435849947852
Nitab11g014100.1,23.528406883175464,19.932756148699333,33.464599580876786
Nitab11g014130.1,31.315856728404874,47.22911268886372,34.222910064537054
Nitab11g014170.1,104.18468976907457,125.40536947569132,98.98776586555425
Nitab11g014190.1,9.715793774731623,7.016023561900234,7.97117234840616
Nitab11g014210.1,7.366252782003166,5.625717584403955,4.7922689772535865
Nitab11g014270.1,30.491071803275226,26.15848846084536,32.61590028459007
Nitab11g014280.1,9.397429106969389,10.44885432915366,7.088479830163141
Nitab11g014290.1,13.567172653582919,13.631067018676978,10.359980188891695
Nitab11g014310.1,11.586711421418759,12.823121137197772,9.220174977935061
Nitab11g014330.1,8.491654600527115,9.936721553080705,8.256039657744488
Nitab11g014400.1,10.89395577223315,9.651057549031036,10.417087192900013
Nitab11g014410.1,13.733942937082913,7.458714975105055,6.489682579606626
Nitab11g014420.1,14.894112484876516,13.262103435658407,13.557009460187153
Nitab11g014460.1,18.606599792261218,18.016803634471657,20.230868713520035
Nitab11g014470.1,9.053440249393857,7.952387178256759,9.151222675929748
Nitab11g014480.1,6.154023911723537,6.001260684616174,7.2337986306029505
Nitab11g014490.1,30.79113470835678,30.876725896147335,16.750614138136356
Nitab11g014570.1,12.678348906662327,11.971975031580445,14.615598267456782
Nitab11g014590.1,7.56949203612603,9.726273213886964,9.867549823188583
Nitab11g014600.1,41.88844721746005,27.502568220898226,33.67848345233767
Nitab11g014630.1,33.90690639207189,22.239778995407466,27.693520450565064
Nitab11g014640.1,10.180375457102214,6.26377057198246,7.010860364243828
Nitab11g014650.1,10.923343617349955,9.371799062229991,14.43049801838207
Nitab11g014680.1,34.92501972611357,32.327893885374955,34.80831233731516
Nitab11g014690.1,53.201320633054635,56.16426634819504,47.73360681051034
Nitab11g014720.1,7.0081215939564,5.269865779057446,5.840106445795498
Nitab11g014730.1,5.6349690210906545,6.359193119419478,9.058013779589077
Nitab11g014750.1,7.864900137286509,7.004238851768637,7.161926873810711
Nitab11g014810.1,8.613973887264759,7.114996242436198,19.4525861467826
Nitab11g014820.1,5.978740514185254,4.710244851665978,5.553604224921906
Nitab11g014830.1,30.13144153094221,32.6455715993228,30.11952139268333
Nitab11g014840.1,12.865814000289708,11.282883523300674,11.431512026580386
Nitab11g014850.1,20.143495139536657,18.299374185889434,8.491695438566069
Nitab11g014860.1,14.701174740821266,19.81721981585682,27.627016002240552
Nitab11g014870.1,9.971514787805036,7.265927985573751,7.38860755071312
Nitab11g014900.1,13.15090011583428,10.762629994961042,18.68274931165692
Nitab11g014910.1,20.715663588481455,26.61845994475656,16.351553301102353
Nitab11g014920.1,9.100545464920705,9.464898994478524,10.696397678292051
Nitab11g014930.1,13.801021374957417,15.795224975956762,14.411329237286653
Nitab11g014980.1,11.976180712895033,11.183876785638473,12.946892409136373
Nitab11g015030.1,9.258723291819956,8.838782073698658,7.916038668025768
Nitab11g015050.1,15.729291590863276,15.07529828616011,17.369015623171872
Nitab11g015060.1,11.391976775680638,11.75997794144963,10.277894389207773
Nitab11g015070.1,41.5690744515275,55.760385607117485,15.760147786589943
Nitab11g015080.1,12.665215670201896,13.048547175652649,11.511704622558646
Nitab11g015100.1,6.094179507912351,5.9573966993150895,4.9365855223296276
Nitab11g015140.1,16.99876184220483,15.996890143441666,17.968783683796282
Nitab11g015160.1,7.218145813486021,7.237062333229735,6.754777984208236
Nitab11g015190.1,40.282959440872524,41.28424190949193,42.46838156442841
Nitab11g015220.1,15.696429330663554,16.322284229430235,16.324266268778555
Nitab11g015230.1,22.62445050271393,19.022609686121232,20.659090770368152
Nitab11g015300.1,11.857215547498669,11.123955434195116,13.62600823678444
Nitab11g015340.1,23.222963946449948,21.68764980954874,21.02763237860728
Nitab11g015350.1,4.6617436268997094,7.7639679021527765,8.75248959488076
Nitab11g015360.1,13.942178702903846,30.74278481714935,32.20231615816054
Nitab11g015370.1,15.495611630374354,17.19802296173872,20.610052470686373
Nitab11g015390.1,8.0686279630365,8.216176040834354,7.786621790939596
