Nsyl,Ntom,HEB,p_value,q_value
Nitab18g006340.1,Nitab09g021900.1,-0.14264550427951042,0.837399761407,0.992360079818
Nitab10g026470.1,Nitab02g028390.1,-0.16787119576138562,0.837520962105,0.992402639008
Nitab22g023530.1,Nitab14g014620.1,-0.16286256349635153,0.837636066588,0.992336924335
Nitab22g024140.1,Nitab19g016540.1,-0.15645942155677126,0.837787569438,0.992314348329
Nitab22g030680.1,Nitab19g010830.1,-0.13612148368030955,0.83780678825,0.992236110746
Nitab16g006440.1,Nitab23g026730.1,-0.1549789063642435,0.838004825131,0.992268662382
Nitab06g018890.1,Nitab04g019440.1,-0.1392530206156815,0.838206379882,0.992305365379
Nitab07g032620.1,Nitab14g007670.1,-0.16598136246774967,0.838284305052,0.992296660589
Nitab18g021510.1,Nitab11g025860.1,-0.1522799700577305,0.838749725305,0.992241948318
Nitab24g020980.1,Nitab24g021370.1,-0.1625261345333737,0.838989898535,0.992223443374
Nitab22g030520.1,Nitab19g010940.1,-0.172843602129867,0.839334263623,0.992227318045
Nitab22g028670.1,Nitab19g013830.1,-0.14494012123064096,0.839386614465,0.992087622744
Nitab17g006690.1,Nitab17g008510.1,-0.14119319947373563,0.839460893917,0.992074645705
Nitab07g030580.1,Nitab14g008910.1,-0.15944094513540974,0.839499421383,0.992019423908
Nitab06g017150.1,Nitab04g022050.1,-0.14953095503955208,0.839558271329,0.991988225546
Nitab07g009530.1,Nitab19g023170.1,-0.1339286482460865,0.8398191361,0.991893571626
Nitab19g039060.1,Nitab13g021490.1,-0.17831236589560331,0.83982472164,0.991799498732
Nitab01g017300.1,Nitab10g010240.1,-0.1570211282493925,0.8399818237,0.991783713909
Nitab07g016550.1,Nitab19g030540.1,-0.13012799884076373,0.840015718472,0.991521901008
Nitab11g012260.1,Nitab13g021750.1,-0.15270583283152192,0.840127359476,0.991452530919
Nitab03g028600.1,Nitab17g028590.1,-0.14925161102528423,0.840139154577,0.991365906364
Nitab18g023090.1,Nitab23g009940.1,-0.14533576362102033,0.840201978411,0.991339507279
Nitab11g021140.1,Nitab02g011770.1,-0.15234517912626072,0.840349470413,0.991212005852
Nitab17g029390.1,Nitab17g029070.1,-0.1493393093847831,0.840409084183,0.991181847107
Nitab10g016060.1,Nitab02g015810.1,-0.14250667743299533,0.840457149626,0.991138075712
Nitab01g006880.1,Nitab23g007410.1,-0.1569093192507695,0.840659100767,0.991175326428
Nitab22g029750.1,Nitab19g015090.1,-0.16476732264929767,0.840813614306,0.991257063431
Nitab10g021880.1,Nitab02g023370.1,-0.1497730301996879,0.840815329248,0.991158663877
Nitab03g015830.1,Nitab17g023910.1,-0.14831783599252055,0.841016640652,0.991195141358
Nitab01g011620.1,Nitab23g013830.1,-0.1879220030109517,0.841206792755,0.991318841452
Nitab22g033820.1,Nitab19g008110.1,-0.13660675476900355,0.841296037708,0.99132361466
Nitab07g010800.1,Nitab19g022320.1,-0.16241350393574275,0.841593621938,0.991573854281
Nitab20g007390.1,Nitab24g023500.1,-0.14910052341977265,0.841673995961,0.991568149945
Nitab07g025110.1,Nitab19g038390.1,-0.15778678032287105,0.841725966455,0.99142862088
Nitab16g006640.1,Nitab23g026540.1,-0.14588113579835157,0.84213696154,0.991410935297
Nitab01g016110.1,Nitab23g018420.1,-0.14132017969669286,0.842154823408,0.991331666685
Nitab20g013960.1,Nitab24g018070.1,-0.13564077973274744,0.842450371116,0.991478964125
Nitab16g012650.1,Nitab12g010080.1,-0.1310267329420972,0.842559728605,0.991407119228
Nitab10g019560.1,Nitab02g022010.1,-0.14229340188447737,0.842761931758,0.991344302258
Nitab03g026750.1,Nitab17g031090.1,-0.1587874038665528,0.842992426709,0.991414986576
Nitab03g018370.1,Nitab17g037540.1,-0.15220542193476908,0.843004953922,0.991329524389
Nitab20g005870.1,Nitab24g024680.1,-0.14826136768760406,0.843152894502,0.991303130284
Nitab06g020510.1,Nitab04g018540.1,-0.15397322221216309,0.8431830401,0.991238417317
Nitab11g009530.1,Nitab13g024250.1,-0.14340687363693827,0.843203702534,0.991162570227
Nitab16g022940.1,Nitab15g013090.1,-0.15088295955439626,0.843572392409,0.991295532021
Nitab20g020810.1,Nitab17g025830.1,-0.15547004542117915,0.843813276707,0.991178203892
Nitab06g021770.1,Nitab12g023720.1,-0.13863210495359535,0.843923452321,0.991207559423
Nitab03g020220.1,Nitab17g035760.1,-0.18584985250520117,0.844043707439,0.991148711249
Nitab08g009700.1,Nitab22g006550.1,-0.1962408387539352,0.844148914221,0.991172226628
Nitab03g014270.1,Nitab17g024920.1,-0.13570663536876876,0.844393789045,0.991359714391
Nitab01g008170.1,Nitab23g008150.1,-0.1608747161564057,0.844669099206,0.99148286476
Nitab08g020460.1,Nitab22g021090.1,-0.14993035190081044,0.845397184191,0.992237405209
Nitab16g022030.1,Nitab12g017810.1,-0.1472051499839121,0.845563781917,0.992332845828
Nitab05g011850.1,Nitab24g009070.1,-0.13124510885573545,0.845712017397,0.992406719891
Nitab03g035440.1,Nitab17g025650.1,-0.10093562691885014,0.845916479242,0.992446476352
Nitab06g006780.1,Nitab04g031450.1,-0.13303598826642601,0.845965781529,0.992404257876
Nitab16g006560.1,Nitab11g005810.1,-0.10642258684155242,0.84651728121,0.992851031566
Nitab10g018380.1,Nitab02g018630.1,-0.16234078679466904,0.846534558252,0.992771227558
Nitab03g034290.1,Nitab17g026710.1,-0.16734230401310474,0.846647768245,0.992803933417
Nitab03g032030.1,Nitab03g032740.1,-0.1335749539442067,0.846841123924,0.992830561006
Nitab01g013770.1,Nitab23g015880.1,-0.14819775092995133,0.847228610286,0.992984700774
Nitab03g012460.1,Nitab17g020540.1,-0.13796494932336356,0.847247019006,0.992906265803
Nitab16g006850.1,Nitab11g008170.1,-0.15936227622007199,0.847297898949,0.992865896492
Nitab06g032020.1,Nitab17g007190.1,-0.15174419360476557,0.847417585215,0.992906154623
Nitab16g010530.1,Nitab12g007670.1,-0.13909462371903467,0.847625739069,0.993050050323
Nitab18g015270.1,Nitab09g014660.1,-0.13464613871135037,0.847670551594,0.993002571061
Nitab20g021160.1,Nitab15g010170.1,-0.14126870962957364,0.847699120817,0.992936075078
Nitab22g025430.1,Nitab19g038770.1,-0.15257766910718887,0.847788270361,0.992840611305
Nitab03g026390.1,Nitab17g031400.1,-0.14911572443870738,0.847953482566,0.992934157506
Nitab18g021420.1,Nitab09g009470.1,-0.15048894958125184,0.848094617859,0.992999494204
Nitab16g022180.1,Nitab12g017640.1,-0.14141075597312833,0.848319692969,0.993063173781
Nitab18g005940.1,Nitab18g005000.1,-0.12691757584427277,0.848474890422,0.993144937627
Nitab01g015620.1,Nitab23g017900.1,-0.17021073905550962,0.848535781557,0.993116310018
Nitab22g022270.1,Nitab14g015890.1,-0.18348305828887224,0.848552582581,0.993036090809
Nitab06g008270.1,Nitab04g027780.1,-0.15989773303064134,0.848603639767,0.99299597268
Nitab16g014290.1,Nitab12g012810.1,-0.11338420068923516,0.848615623668,0.9929101455
Nitab03g021260.1,Nitab17g034740.1,-0.1497107216144086,0.848705732191,0.992815914323
Nitab06g019740.1,Nitab04g019250.1,-0.14985935446311882,0.848976747341,0.993033115406
Nitab11g013120.1,Nitab13g019730.1,-0.13180370275124464,0.849024783456,0.9929894844
Nitab08g015860.1,Nitab22g020750.1,-0.14109728735635046,0.849034351926,0.992900876283
Nitab06g026570.1,Nitab04g005450.1,-0.16102240067580184,0.849345808753,0.992965721958
Nitab10g011250.1,Nitab02g010530.1,-0.14142199157028323,0.849549423763,0.992804770002
Nitab17g008070.1,Nitab17g021820.1,-0.14813589047695752,0.850123626022,0.992977164464
Nitab18g020080.1,Nitab09g012310.1,-0.1283734090757441,0.850144156112,0.992901475512
Nitab10g022510.1,Nitab02g024050.1,-0.11563185731172326,0.850301603654,0.992786419839
Nitab09g009770.1,Nitab17g034030.1,-0.1783560000439255,0.850428451376,0.992834901195
Nitab16g006290.1,Nitab23g027110.1,-0.1416676243400947,0.85061209351,0.992850067217
Nitab07g005140.1,Nitab19g021430.1,-0.14328501033807034,0.850960819289,0.993057877169
Nitab03g026000.1,Nitab17g031950.1,-0.1451588320236228,0.851086505152,0.993104951259
Nitab07g023570.1,Nitab19g037010.1,-0.1432799240162284,0.851316326176,0.99327351563
Nitab08g026970.1,Nitab21g018430.1,-0.11183983875782068,0.851500784795,0.993389124912
Nitab18g020530.1,Nitab09g012070.1,-0.13475446075453623,0.85176063303,0.993393477593
Nitab06g031080.1,Nitab04g010190.1,-0.1357160429415373,0.851818705203,0.993361640985
Nitab10g007450.1,Nitab02g007280.1,-0.15494112584212924,0.851910284005,0.993269345158
Nitab20g024290.1,Nitab22g024540.1,-0.11784681883346719,0.851925704685,0.993187806805
Nitab03g017900.1,Nitab17g039020.1,-0.14238006677607917,0.852107548829,0.993200785152
Nitab22g022820.1,Nitab14g017040.1,-0.14491532120160855,0.852168342338,0.993072692183
Nitab06g020540.1,Nitab04g018530.1,-0.1364889157659392,0.852854735826,0.993474592659
Nitab22g028520.1,Nitab19g013670.1,-0.1373114271425159,0.853146850531,0.993715390669
Nitab20g016850.1,Nitab17g022380.1,-0.1499358079301271,0.853215893766,0.993596891499
Nitab16g013090.1,Nitab12g012340.1,-0.1544355234418275,0.853258888251,0.993547525637
Nitab21g006400.1,Nitab17g033250.1,-0.14843654276305238,0.853282837968,0.993475995857
Nitab11g024670.1,Nitab13g008190.1,-0.13275278392803466,0.853712155942,0.993876402855
Nitab10g017720.1,Nitab02g017970.1,-0.13823880804539293,0.853748684203,0.993819496738
Nitab06g017830.1,Nitab04g021080.1,-0.1301006129771324,0.854063509467,0.993887688385
Nitab09g008070.1,Nitab18g023390.1,-0.14538411310916283,0.854184561838,0.993829773177
Nitab16g016870.1,Nitab12g015590.1,-0.15066815396487246,0.854210656084,0.993760767266
Nitab01g010310.1,Nitab23g012670.1,-0.15930976004147102,0.854325890031,0.993596807237
Nitab06g026170.1,Nitab04g005270.1,-0.13883723846156318,0.854335571223,0.993508765415
Nitab07g021030.1,Nitab19g034480.1,-0.13449460144274158,0.854385275072,0.993467278978
Nitab18g012790.1,Nitab09g016970.1,-0.11291548070760345,0.855019275292,0.993707979155
Nitab05g015450.1,Nitab15g016750.1,-0.14178042025247686,0.855212294982,0.993733799122
Nitab18g020360.1,Nitab09g012190.1,-0.13504087295806294,0.855244424462,0.993671904447
Nitab11g021500.1,Nitab13g011110.1,-0.0960620593880832,0.855254022905,0.993583846897
Nitab20g009040.1,Nitab24g021500.1,-0.13152058718001022,0.855662623627,0.993860080707
Nitab16g025290.1,Nitab16g025160.1,-0.1379002002131667,0.855775911687,0.993892455174
Nitab10g023440.1,Nitab02g025100.1,-0.16632983564198078,0.856394593105,0.993916565467
Nitab11g022210.1,Nitab13g010200.1,-0.13972665933607306,0.856447808666,0.993879196334
Nitab03g022430.1,Nitab17g033660.1,-0.14479783442013813,0.856728958037,0.993908091298
Nitab06g029140.1,Nitab22g014330.1,-0.11640420864860206,0.85695171059,0.993968311845
Nitab06g034160.1,Nitab04g012630.1,-0.16661595892147577,0.857138790589,0.994086212229
Nitab07g009760.1,Nitab19g023660.1,-0.1341767782805319,0.857192185526,0.993950002071
Nitab03g022850.1,Nitab17g033290.1,-0.1289619821916206,0.857400260248,0.993993168103
Nitab16g009760.1,Nitab12g024080.1,-0.10570804235317438,0.857441793201,0.99384328177
Nitab10g024580.1,Nitab02g026400.1,-0.12708478637518705,0.857739593433,0.993891446842
Nitab10g015960.1,Nitab02g015720.1,-0.13228638916162302,0.858100549385,0.994210693283
Nitab16g023240.1,Nitab12g020560.1,-0.16100946383827172,0.858103956377,0.994115654759
Nitab03g011530.1,Nitab17g021300.1,-0.13778677515558496,0.858295261489,0.994040376498
Nitab03g020570.1,Nitab17g035510.1,-0.13063778638768417,0.858356126827,0.994011931903
Nitab05g027680.1,Nitab15g023760.1,-0.12889662273677677,0.859028519059,0.994691595957
Nitab08g027610.1,Nitab21g019170.1,-0.14694671032477616,0.859054634283,0.994622858161
Nitab07g024950.1,Nitab14g009880.1,-0.14710527762918535,0.859470099678,0.994213548052
Nitab07g018890.1,Nitab19g032140.1,-0.10108100869514801,0.859485941897,0.994133043728
Nitab03g030070.1,Nitab14g016020.1,-0.15633069426404755,0.859521447089,0.994075296524
Nitab07g016490.1,Nitab19g030460.1,-0.13617811769840973,0.8595609986,0.994022240082
Nitab08g010610.1,Nitab22g005920.1,-0.13465045379257323,0.859627109221,0.993999904889
Nitab01g007360.1,Nitab23g007690.1,-0.26202378430374423,0.859867157491,0.994079905074
Nitab20g016080.1,Nitab15g013580.1,-0.1282485016093544,0.859999618971,0.994134270449
